i,raw_vocab,category,decoded,metrics,main_metric,metric_names,main_metric_name,verification,max_prob,magic,reencoded_ids,reencoded,model
8428,▁photo,OK, photo,"[46.260896, 1316.735679, 41.266574]",46.260896,,,"[0.9061818181818276, 0.8109090909090977, 0.6949090909090944]",0.9061818181818276,strong_verified,,,GritLM-7B
9542,▁nine,OK, nine,"[52.271606, 1587.89934, 33.420616]",52.271606,,,"[0.8876363636363727, 0.781090909090915, 0.6356363636363654]",0.8876363636363727,strong_verified,,,GritLM-7B
13157,▁folks,OK, folks,"[52.229822, 1811.015861, 1948.887327]",52.229822,,,"[0.9167272727272825, 0.8283636363636436, 0.7370909090909138]",0.9167272727272825,strong_verified,,,GritLM-7B
14098,▁publication,OK, publication,"[45.619806, 1285.581663, 215.134175]",45.619806,,,"[0.9003636363636457, 0.8109090909090977, 0.7283636363636408]",0.9003636363636457,strong_verified,,,GritLM-7B
18339,▁junior,OK, junior,"[47.072911, 1805.075207, 3177.716656]",47.072911,,,"[0.893818181818191, 0.8232727272727344, 0.6749090909090938]",0.893818181818191,strong_verified,,,GritLM-7B
18675,▁©,OK, ©,"[48.786054, 678.065503, 4581.579808]",48.786054,,,"[0.9050909090909186, 0.8916363636363728, 0.8690909090909176]",0.9050909090909186,strong_verified,,,GritLM-7B
20278,▁elite,OK, elite,"[46.724637, 1712.915084, 1336.164794]",46.724637,,,"[0.8974545454545547, 0.8167272727272796, 0.6709090909090937]",0.8974545454545547,strong_verified,,,GritLM-7B
21029,▁islands,OK, islands,"[50.505462, 1178.462933, 2895.300274]",50.505462,,,"[0.8876363636363727, 0.8163636363636433, 0.7141818181818222]",0.8876363636363727,strong_verified,,,GritLM-7B
21325,▁promoting,OK, promoting,"[57.067055, 1293.996554, 94.49449]",57.067055,,,"[0.8923636363636455, 0.7163636363636404, 0.6545454545454567]",0.8923636363636455,strong_verified,,,GritLM-7B
24978,▁’,OK, ’,"[46.192929, 1633.726958, 4704.474871]",46.192929,,,"[0.9021818181818275, 0.8167272727272796, 0.7170909090909132]",0.9021818181818275,strong_verified,,,GritLM-7B
25514,▁escort,OK, escort,"[50.813849, 1673.664192, 50.858576]",50.813849,,,"[0.8909090909091, 0.822909090909098, 0.605454545454546]",0.8909090909091,strong_verified,,,GritLM-7B
26892,▁accidents,OK, accidents,"[50.227942, 1446.091047, 58.86484]",50.227942,,,"[0.8927272727272818, 0.7981818181818247, 0.6367272727272746]",0.8927272727272818,strong_verified,,,GritLM-7B
28005,▁adventures,OK, adventures,"[57.537678, 2034.635228, 2948.91198]",57.537678,,,"[0.8920000000000091, 0.843272727272735, 0.6760000000000029]",0.8920000000000091,strong_verified,,,GritLM-7B
1,</s>,OK_SPECIAL,</s>,"[97.415502, 103.608024, 132.597269]",97.415502,,,"[0.9974545454545576, 1.0000000000000122, 1.0000000000000122]",1.0000000000000122,strong_verified,,,sentence-t5-xxl
