sentence-t5-base,gte-base-en-v1.5,bge-base-en-v1.5,instructor-base,e5-base,sup-simcse-bert-base-uncased,all-mpnet-base-v2,UAE-Large-V1
0.7915,0.5615,0.5166,0.8213,0.712,0.444,0.0746,0.4111
0.87,0.432,0.526,0.8105,0.77,0.718,0.1109,0.6274
0.765,0.3105,0.5815,0.838,0.7163,0.809,0.09656,0.4744
0.7974,0.389,0.6045,0.84,0.745,0.5923,0.1393,0.4639
0.7944,0.3452,0.4226,0.8525,0.6963,0.5674,0.2262,0.5645
0.7925,0.436,0.5146,0.842,0.7383,0.529,0.1742,0.4524
0.775,0.3862,0.4602,0.813,0.7627,0.7744,0.2368,0.4731
0.777,0.357,0.5483,0.886,0.7573,0.513,0.1307,0.4502
0.798,0.2056,0.4395,0.882,0.7837,0.7686,0.2808,0.5503
0.7876,0.2825,0.48,0.8867,0.726,0.7593,0.04962,0.5044
0.8535,0.3408,0.542,0.8354,0.7554,0.813,0.1866,0.532
0.8,0.336,0.5825,0.8525,0.7554,0.5884,0.2158,0.541
0.793,0.4097,0.4548,0.8643,0.713,0.531,0.0609,0.511
0.843,0.542,0.6484,0.8413,0.7314,0.537,0.1606,0.532
0.817,0.585,0.5596,0.8174,0.733,0.6455,0.1982,0.5
0.7666,0.429,0.6475,0.837,0.815,0.5874,0.258,0.4375
0.7935,0.2888,0.5776,0.9263,0.7544,0.5806,0.169,0.4941
0.79,0.27,0.5244,0.821,0.7305,0.479,0.3179,0.4724
0.804,0.2786,0.5854,0.8433,0.738,0.9946,0.358,0.4705
0.827,0.359,0.615,0.8433,0.8306,0.5225,0.1869,0.4944
0.7886,0.2183,0.4443,0.828,0.7285,0.4507,0.0454,0.4504
0.8237,0.414,0.5396,0.8345,0.7485,0.9204,0.245,0.5566
0.7847,0.3813,0.4297,0.853,0.6846,0.6543,0.04694,0.5425
0.7754,0.3613,0.604,0.849,0.716,0.598,0.1642,0.5913
0.786,0.4175,0.5127,0.8057,0.722,0.667,0.1403,0.4937
0.7935,0.372,0.6167,0.847,0.7334,0.5723,0.1464,0.418
0.855,0.512,0.548,0.8154,0.7173,0.4673,0.2769,0.481
0.8135,0.3965,0.5044,0.829,0.738,0.5195,0.08496,0.546
0.8125,0.38,0.5156,0.814,0.739,0.7783,0.1632,0.4392
0.7925,0.4922,0.5195,0.8306,0.6763,0.333,0.1344,0.459
0.773,0.3547,0.518,0.849,0.741,0.497,0.3901,0.4246
0.7744,0.3313,0.447,0.8384,0.715,0.522,0.1704,0.576
0.8345,0.4521,0.5317,0.8228,0.687,0.4329,0.1387,0.4307
0.776,0.528,0.398,0.9043,0.747,0.524,0.2471,0.484
0.805,0.2369,0.5293,0.85,0.7256,0.665,0.2003,0.4536
0.7793,0.5557,0.5054,0.828,0.788,0.4893,0.1593,0.585
0.803,0.3582,0.554,0.8384,0.795,0.461,0.1945,0.509
0.787,0.3188,0.5977,0.8677,0.652,0.6987,0.1733,0.52
0.808,0.4822,0.4604,0.897,0.704,0.577,0.04907,0.4543
0.7764,0.4187,0.467,0.826,0.891,0.5386,0.1508,0.4624
0.7485,0.2954,0.473,0.836,0.745,0.3398,0.11707,0.442
0.8125,0.412,0.528,0.8276,0.7476,0.633,0.0909,0.4116
0.7876,0.3452,0.5635,0.84,0.7876,0.6084,0.4336,0.478
0.798,0.241,0.5747,0.861,0.7886,0.7812,0.10065,0.4487
0.811,0.4424,0.4272,0.833,0.738,0.6504,0.1721,0.521
0.7847,0.4443,0.538,0.8613,0.7456,0.4546,0.2474,0.4688
0.798,0.2898,0.644,0.8145,0.773,0.659,0.1426,0.5273
0.756,0.3882,0.509,0.871,0.7236,0.612,0.241,0.4688
0.805,0.3242,0.5986,0.8804,0.673,0.665,0.1603,0.4656
0.798,0.4304,0.527,0.8345,0.723,0.753,0.2092,0.508
0.8027,0.3625,0.502,0.8755,0.712,0.638,0.1306,0.4924
0.804,0.4775,0.5854,0.85,0.7847,0.7095,0.086,0.524
0.801,0.2778,0.517,0.8354,0.818,0.494,0.1506,0.5576
0.801,0.2141,0.578,0.8296,0.8457,0.545,0.2373,0.475
0.7695,0.308,0.557,0.885,0.7124,0.511,0.2085,0.557
0.7676,0.3745,0.5435,0.823,0.7603,0.6943,0.11896,0.721
0.823,0.3638,0.4792,0.833,0.7285,0.472,0.155,0.4238
0.8003,0.4426,0.3933,0.9243,0.75,0.4822,0.1343,0.493
0.7783,0.4536,0.4973,0.7993,0.8047,0.789,0.2,0.594
0.766,0.3494,0.5923,0.834,0.728,0.573,0.2947,0.541
0.738,0.2372,0.6333,0.838,0.6914,0.636,0.4785,0.5054
0.7983,0.3018,0.4358,0.8735,0.7363,0.4336,0.04987,0.4678
0.7876,0.4758,0.5244,0.7974,0.74,0.3865,0.1805,0.4683
0.799,0.376,0.585,0.83,0.89,0.554,0.1815,0.4724
0.791,0.4502,0.5317,0.8457,0.6924,0.5063,0.0876,0.5205
0.802,0.3262,0.4893,0.8267,0.804,0.4028,0.09357,0.4941
0.763,0.4336,0.4822,0.843,0.7134,0.6675,0.1381,0.5244
0.792,0.4648,0.5156,0.833,0.8223,0.6216,0.1564,0.4292
0.7754,0.4216,0.5415,0.8706,0.7837,0.7554,0.1388,0.463
0.8228,0.299,0.4788,0.86,0.737,0.6045,0.1895,0.634
0.8135,0.3083,0.4788,0.8237,0.7354,0.499,0.1813,0.5303
0.805,0.2954,0.529,0.831,0.716,0.5874,0.0822,0.4639
0.822,0.2935,0.4443,0.826,0.745,0.4714,0.1803,0.554
0.8022,0.3655,0.479,0.831,0.7656,0.513,0.3157,0.537
0.7905,0.2788,0.446,0.8457,0.6743,0.4768,0.2542,0.5103
0.7524,0.3477,0.4768,0.842,0.702,0.5557,0.1442,0.532
0.786,0.4336,0.615,0.8237,0.802,0.6377,0.1345,0.48
0.8125,0.322,0.5425,0.8433,0.766,0.6504,0.1713,0.594
0.8237,0.3154,0.4717,0.802,0.784,0.6143,0.1076,0.4197
0.8037,0.3552,0.4204,0.8374,0.7363,0.6626,0.1292,0.5586
0.809,0.3508,0.4785,0.84,0.786,0.714,0.2903,0.4907
0.758,0.327,0.402,0.8433,0.7896,0.7437,0.1803,0.4683
0.7725,0.3413,0.516,0.8467,0.701,0.46,0.1731,0.501
0.808,0.4219,0.5693,0.812,0.802,0.619,0.1475,0.555
0.7695,0.3457,0.4854,0.85,0.7417,0.4934,0.1274,0.5312
0.804,0.3413,0.681,0.8506,0.7896,0.6313,0.2189,0.458
0.781,0.328,0.4583,0.8745,0.8467,0.5435,0.1796,0.4824
0.7935,0.2598,0.523,0.875,0.8076,0.4724,0.0577,0.4524
0.7676,0.2294,0.4785,0.797,0.7363,0.8477,0.3662,0.5205
0.724,0.4563,0.4624,0.844,0.701,0.4834,0.1169,0.5015
0.808,0.2932,0.528,0.8135,0.712,0.47,0.1755,0.5864
0.768,0.4165,0.5674,0.8843,0.7476,0.4958,0.0473,0.518
0.773,0.2568,0.543,0.851,0.761,0.4854,0.2252,0.5503
0.775,0.4612,0.516,0.881,0.708,0.53,0.2432,0.52
0.8184,0.3267,0.582,0.8296,0.749,0.833,0.3438,0.544
0.8228,0.4495,0.61,0.822,0.7095,0.5786,0.2676,0.5024
0.812,0.3933,0.4766,0.819,0.7275,0.5703,0.1777,0.474
0.776,0.4077,0.543,0.8184,0.7305,0.624,0.2266,0.514
0.8003,0.4202,0.656,0.8384,0.751,0.6523,0.1208,0.558
0.7744,0.3552,0.5913,0.8438,0.7163,0.777,0.1805,0.504
0.792,0.2952,0.475,0.854,0.685,0.5386,0.1599,0.4783
0.8257,0.3535,0.524,0.8,0.7954,0.4211,0.1021,0.4983
0.8193,0.322,0.5977,0.8115,0.793,0.4797,0.2664,0.499
0.786,0.3958,0.499,0.837,0.7046,0.5083,0.11414,0.4744
0.7686,0.2191,0.6504,0.8413,0.7393,0.5737,0.1605,0.4216
0.7954,0.5547,0.4478,0.803,0.7183,0.425,0.2059,0.5054
0.8203,0.2773,0.6,0.8164,0.707,0.621,0.1647,0.532
0.8135,0.3684,0.5034,0.8438,0.6855,0.4172,0.06714,0.4714
0.801,0.421,0.4155,0.83,0.7915,0.766,0.1432,0.514
0.792,0.4724,0.45,0.8438,0.7285,0.511,0.0667,0.477
0.796,0.3005,0.4954,0.8325,0.705,0.5483,0.1808,0.4792
0.781,0.332,0.6045,0.8623,0.7334,0.6553,0.2006,0.5645
0.782,0.388,0.5605,0.83,0.7354,0.5703,0.1401,0.5454
0.7656,0.3347,0.5586,0.8438,0.77,0.722,0.1926,0.5444
0.8384,0.4646,0.5273,0.8267,0.7593,0.5635,0.2262,0.4536
0.822,0.4607,0.4956,0.843,0.726,0.4714,0.0894,0.515
0.771,0.2869,0.4658,0.8447,0.7466,0.6807,0.1343,0.513
0.8076,0.311,0.429,0.8506,0.7065,0.3972,0.1129,0.4436
0.7896,0.4639,0.4775,0.8647,0.6787,0.4739,0.2445,0.4387
0.822,0.5107,0.5474,0.823,0.726,0.7046,0.1873,0.4834
0.745,0.3408,0.587,0.8276,0.73,0.638,0.1393,0.511
0.787,0.3975,0.5117,0.839,0.8027,0.6226,0.1117,0.4514
0.768,0.2947,0.562,0.872,0.706,0.5728,0.4014,0.451
0.7915,0.3264,0.5757,0.807,0.6777,0.649,0.1699,0.5317
0.813,0.72,0.562,0.849,0.7456,0.6,0.2776,0.5137
0.8174,0.4214,0.405,0.834,0.727,0.551,0.2742,0.4644
0.799,0.4016,0.4897,0.8354,0.72,0.5713,0.1962,0.42
0.7476,0.305,0.5815,0.872,0.761,0.4875,0.179,0.4846
0.789,0.287,0.4832,0.8257,0.733,0.7183,0.3296,0.4937
0.7954,0.3962,0.8887,0.864,0.762,0.406,0.1995,0.4536
0.797,0.388,0.594,0.855,0.6963,0.5405,0.10175,0.5137
0.7993,0.4536,0.562,0.8438,0.7886,0.3853,0.1654,0.6123
0.8057,0.2406,0.497,0.8335,0.75,0.4502,0.1337,0.4077
0.7666,0.375,0.431,0.884,0.7793,0.6646,0.0824,0.603
0.81,0.4258,0.553,0.8496,0.7495,0.7495,0.2303,0.4814
0.8257,0.3137,0.5273,0.8584,0.714,0.6265,0.28,0.5986
0.819,0.3923,0.5635,0.861,0.82,0.367,0.2178,0.4934
0.781,0.3015,0.4954,0.81,0.7007,0.6567,0.2024,0.4785
0.7676,0.333,0.4963,0.816,0.738,0.4565,0.1394,0.552
0.7305,0.4226,0.4082,0.869,0.7705,0.6055,0.1259,0.5117
0.804,0.393,0.537,0.7974,0.747,0.6714,0.1609,0.4448
0.8066,0.56,0.572,0.8457,0.7583,0.3887,0.1981,0.484
0.799,0.3118,0.5063,0.8374,0.7393,0.6147,0.1495,0.551
0.7817,0.3125,0.4866,0.8516,0.733,0.9165,0.2367,0.4229
0.794,0.3972,0.5996,0.845,0.7236,0.667,0.1552,0.543
0.7812,0.51,0.6313,0.8496,0.8076,0.754,0.1254,0.5156
0.7915,0.3958,0.645,0.7974,0.7476,0.6797,0.0932,0.4656
0.8037,0.667,0.5566,0.812,0.744,0.7144,0.1656,0.436
0.796,0.3574,0.676,0.8804,0.745,0.6704,0.1425,0.4934
0.8135,0.3567,0.571,0.826,0.7383,0.558,0.1736,0.5234
0.783,0.4153,0.4648,0.832,0.6924,0.4436,0.2263,0.5127
0.786,0.566,0.521,0.8975,0.9565,0.7314,-0.03436,0.559
0.809,0.3538,0.5884,0.8267,0.767,0.659,0.433,0.918
0.7466,0.2527,0.643,0.856,0.809,0.5947,0.02681,0.4446
0.8022,0.338,0.454,0.821,0.7026,0.6445,0.102,0.568
0.8027,0.3872,0.5527,0.874,0.6885,0.4087,0.2634,0.398
0.8335,0.381,0.5923,0.7964,0.6846,0.534,0.0799,0.502
0.8237,0.559,0.4424,0.818,0.723,0.608,0.2228,0.3933
0.8174,0.3638,0.504,0.8525,0.777,0.586,0.18,0.476
0.753,0.3855,0.502,0.8394,0.766,0.657,0.07605,0.4817
0.796,0.3247,0.508,0.842,0.7705,0.5986,0.1755,0.5483
0.79,0.2969,0.524,0.814,0.7197,0.5615,0.182,0.5903
0.805,0.3435,0.564,0.8813,0.7183,0.608,0.1727,0.542
0.8076,0.4326,0.4956,0.8354,0.7153,0.515,0.2072,0.4517
0.807,0.3762,0.623,0.782,0.7104,0.6245,0.135,0.532
0.789,0.3577,0.602,0.8228,0.775,0.6675,0.1481,0.511
0.762,0.3108,0.5107,0.8584,0.756,0.65,0.166,0.528
0.8037,0.525,0.564,0.823,0.7275,0.5625,0.1353,0.4995
0.781,0.2566,0.4941,0.859,0.7134,0.527,0.2485,0.547
0.759,0.426,0.518,0.855,0.68,0.827,0.1813,0.5205
0.8076,0.3884,0.552,0.8325,0.752,0.4565,0.25,0.4536
0.7227,0.3037,0.4429,0.8525,0.746,0.6714,0.238,0.4683
0.8057,0.308,0.548,0.8037,0.7046,0.727,0.1484,0.4714
0.8057,0.311,0.5435,0.827,0.768,0.5513,0.2103,0.4294
0.7837,0.313,0.526,0.8267,0.9272,0.5054,0.184,0.4348
0.766,0.431,0.4604,0.843,0.7153,0.4612,0.2103,0.5317
0.832,0.3364,0.5547,0.849,0.726,0.7144,0.169,0.4885
0.808,0.5215,0.516,0.827,0.722,0.3982,0.1927,0.4868
0.814,0.3652,0.583,0.7974,0.772,0.4932,0.1021,0.532
0.8,0.3315,0.536,0.8364,0.69,0.577,0.10693,0.5776
0.8086,0.2957,0.735,0.808,0.701,0.407,0.3337,0.4026
0.808,0.3545,0.6133,0.851,0.697,0.5283,0.1266,0.4966
0.7573,0.3179,0.469,0.8457,0.779,0.4875,0.1613,0.5107
0.8574,0.371,0.4756,0.802,0.7544,0.799,0.4226,0.5107
0.788,0.3865,0.4763,0.8354,0.751,0.7246,0.1445,0.543
0.7617,0.263,0.663,0.841,0.7607,0.62,0.2247,0.5713
0.803,0.3176,0.5225,0.8394,0.728,0.5073,0.2054,0.4497
0.82,0.2986,0.5757,0.858,0.76,0.4993,0.1084,0.4246
0.8057,0.2295,0.644,0.8506,0.754,0.822,0.10583,0.4233
0.788,0.3274,0.5303,0.8,0.7344,0.5215,0.1626,0.5435
0.794,0.4036,0.534,0.821,0.71,0.5625,0.1412,0.4048
0.7764,0.4355,0.502,0.8647,0.7227,0.4802,0.1635,0.5386
0.79,0.4666,0.4956,0.8267,0.7485,0.6133,0.10547,0.6294
0.793,0.3733,0.724,0.8364,0.73,0.4653,0.1702,0.4958
0.8213,0.35,0.5806,0.8335,0.7017,0.524,0.1016,0.4758
0.7827,0.3315,0.4739,0.8643,0.8096,0.688,0.1566,0.6147
0.815,0.4714,0.509,0.866,0.702,0.682,0.2927,0.534
0.792,0.3313,0.3418,0.832,0.7554,0.4834,0.2708,0.4854
0.82,0.3945,0.546,0.8105,0.7485,0.4558,0.1976,0.4607
0.76,0.4358,0.5356,0.823,0.756,0.752,0.1729,0.4268
0.791,0.5664,0.5854,0.8447,0.7197,0.718,0.08936,0.4187
0.832,0.2966,0.5103,0.846,0.7856,0.511,0.1654,0.4587
0.753,0.331,0.555,0.846,0.7944,0.593,0.183,0.4563
0.824,0.4302,0.482,0.839,0.7417,0.4763,0.194,0.4512
0.8066,0.305,0.4924,0.8315,0.708,0.65,0.1725,0.4678
0.7407,0.3699,0.535,0.868,0.728,0.572,0.2137,0.491
0.7915,0.3176,0.5405,0.8247,0.702,0.7427,0.1017,0.4868
0.786,0.3704,0.5415,0.857,0.734,0.6035,0.196,0.6206
0.7876,0.3765,0.6616,0.8154,0.6973,0.682,0.1167,0.486
0.798,0.2324,0.543,0.8135,0.7227,0.4758,0.09204,0.458
0.78,0.312,0.6577,0.8047,0.78,0.675,0.12225,0.4834
0.823,0.4236,0.6035,0.84,0.734,0.4475,0.09784,0.4934
0.821,0.4155,0.592,0.813,0.725,0.684,0.2074,0.471
0.8423,0.328,0.527,0.823,0.733,0.7476,0.2417,0.5483
0.7764,0.3306,0.488,0.8447,0.734,0.4746,0.3816,0.5
0.8037,0.3452,0.4983,0.818,0.716,0.6445,0.1636,0.515
0.798,0.276,0.702,0.8193,0.78,0.5312,0.1716,0.5083
0.7847,0.359,0.4656,0.8325,0.786,0.4446,0.2546,0.526
0.776,0.3494,0.542,0.9004,0.7656,0.54,0.2874,0.5234
0.812,0.4043,0.4832,0.829,0.7354,0.68,0.1804,0.472
0.811,0.321,0.547,0.842,0.7383,0.7256,0.12134,0.535
0.8022,0.463,0.709,0.805,0.6963,0.6045,0.131,0.4814
0.847,0.688,0.4749,0.8403,0.6826,0.68,0.2246,0.518
0.7734,0.709,0.512,0.8403,0.717,0.73,0.2008,0.534
0.807,0.4563,0.4243,0.8735,0.7397,0.894,0.2695,0.572
0.778,0.5024,0.4795,0.8486,0.7666,0.578,0.1984,0.6104
0.765,0.3184,0.4521,0.834,0.722,0.6367,0.2236,0.531
0.837,0.2776,0.4812,0.8545,0.697,0.6177,0.1617,0.4365
0.83,0.551,0.532,0.8354,0.747,0.725,0.182,0.4607
0.809,0.31,0.4834,0.8403,0.667,0.4795,0.1764,0.5015
0.7993,0.3389,0.4304,0.8364,0.7534,0.5215,0.173,0.5254
0.807,0.3362,0.512,0.805,0.6567,0.5503,0.1997,0.5405
0.7915,0.4104,0.3906,0.8438,0.7095,0.4902,0.145,0.444
0.869,0.3618,0.5444,0.823,0.735,0.4666,0.1266,0.4727
0.795,0.3376,0.4905,0.8623,0.7935,0.63,0.01497,0.436
0.9346,0.3103,0.4893,0.811,0.73,0.5195,0.1915,0.541
0.801,0.393,0.4985,0.9014,0.7183,0.6357,0.3223,0.4536
0.805,0.429,0.5674,0.822,0.72,0.4817,0.2134,0.4507
0.8535,0.3735,0.5723,0.8535,0.72,0.728,0.2223,0.566
0.7837,0.4292,0.4485,0.8374,0.7314,0.4,0.2747,0.5195
0.851,0.3643,0.5215,0.847,0.725,0.436,0.1729,0.536
0.771,0.2107,0.4812,0.865,0.7393,0.8247,0.1365,0.4812
0.7817,0.547,0.5293,0.8667,0.7803,0.476,0.142,0.4915
0.8564,0.3477,0.489,0.816,0.812,0.606,0.1335,0.4524
0.8213,0.4795,0.477,0.825,0.696,0.658,0.1694,0.531
0.815,0.2238,0.521,0.838,0.8843,0.5703,0.0337,0.5127
0.7812,0.4265,0.4731,0.843,0.791,0.4736,0.4363,0.578
0.7837,0.375,0.5146,0.827,0.748,0.9243,0.116,0.5547
0.7817,0.542,0.6016,0.813,0.7036,0.7773,0.081,0.67
0.779,0.267,0.649,0.8154,0.735,0.622,0.1748,0.5127
0.752,0.3035,0.454,0.8486,0.739,0.5723,0.1888,0.502
0.8145,0.2349,0.523,0.826,0.739,0.5356,0.11084,0.4834
0.806,0.429,0.5454,0.8164,0.7134,0.814,0.2798,0.4585
0.792,0.319,0.4695,0.832,0.772,0.5693,0.2705,0.5474
0.7993,0.4175,0.556,0.84,0.693,0.5874,0.1643,0.4556
0.8496,0.268,0.4414,0.823,0.7354,0.6167,0.1153,0.518
0.829,0.2957,0.5923,0.8667,0.7905,0.6187,0.05344,0.511
0.809,0.3005,0.618,0.855,0.7275,0.653,0.1669,0.517
0.7725,0.4185,0.6606,0.8623,0.689,0.756,0.1454,0.504
0.797,0.3655,0.59,0.8154,0.732,0.6597,0.0904,0.4653
0.7896,0.4155,0.5044,0.8267,0.717,0.6914,0.148,0.5073
0.7783,0.35,0.475,0.819,0.689,0.6196,0.199,0.4092
0.801,0.3616,0.4915,0.853,0.713,0.7163,0.1692,0.4712
0.7676,0.4138,0.5283,0.816,0.812,0.6196,0.2986,0.4727
0.805,0.271,0.471,0.817,0.719,0.5586,0.2126,0.4875
0.76,0.2805,0.6934,0.8276,0.8076,0.6787,0.1968,0.5815
0.7837,0.399,0.534,0.8433,0.7026,0.4473,0.1737,0.5605
0.748,0.321,0.7256,0.8687,0.7095,0.45,0.254,0.4883
0.775,0.4211,0.539,0.8413,0.7495,0.787,0.1769,0.4673
0.812,0.2952,0.4778,0.815,0.734,0.573,0.2345,0.5356
0.818,0.1514,0.515,0.8438,0.681,0.4888,0.183,0.4912
0.8223,0.2407,0.6865,0.841,0.746,0.581,0.2646,0.4785
0.8174,0.3694,0.493,0.8345,0.7104,0.4758,0.384,0.4917
0.778,0.3892,0.538,0.8105,0.798,0.561,0.1329,0.4387
0.7837,0.4546,0.4944,0.8237,0.7476,0.688,0.3997,0.5
0.7803,0.225,0.6284,0.8545,0.6973,0.424,0.1741,0.5303
0.799,0.2825,0.528,0.81,0.7617,0.4697,0.1427,0.502
0.8115,0.3328,0.501,0.7925,0.7744,0.4915,0.1342,0.4568
0.863,0.3313,0.507,0.85,0.782,0.4275,0.1348,0.4888
0.7705,0.3682,0.5156,0.8657,0.7344,0.5635,0.0828,0.5283
0.8013,0.2734,0.6133,0.88,0.763,0.5205,0.1696,0.522
0.8115,0.3416,0.518,0.854,0.725,0.3923,0.1724,0.5776
0.7866,0.2776,0.551,0.8193,0.703,0.6265,0.1193,0.5015
0.808,0.493,0.609,0.849,0.7427,0.4736,0.1555,0.53
0.77,0.3193,0.3794,0.8047,0.723,0.6147,0.0642,0.51
0.8037,0.5947,0.4702,0.828,0.78,0.636,0.256,0.4446
0.795,0.2206,0.4973,0.841,0.754,0.3833,0.1106,0.5513
0.8096,0.5317,0.4573,0.813,0.7227,0.5947,0.1384,0.647
0.8154,0.2421,0.551,0.821,0.826,0.607,0.3657,0.5273
0.782,0.4575,0.493,0.8374,0.764,0.4453,0.1593,0.4854
0.792,0.4155,0.3887,0.809,0.6934,0.879,0.0867,0.5293
0.799,0.4524,0.4517,0.8394,0.7974,0.6797,0.1342,0.462
0.8047,0.4219,0.4314,0.835,0.7217,0.5684,0.2053,0.5107
0.7827,0.2683,0.5815,0.848,0.7954,0.554,0.01668,0.516
0.792,0.3384,0.5815,0.8174,0.7363,0.74,0.3032,0.5415
0.756,0.4348,0.3838,0.854,0.7197,0.7085,0.3213,0.605
0.8027,0.3594,0.5415,0.827,0.7344,0.539,0.1643,0.52
0.8306,0.4653,0.5005,0.834,0.78,0.613,0.12354,0.4792
0.774,0.5264,0.594,0.84,0.7563,0.618,0.1715,0.5225
0.7666,0.4216,0.5312,0.815,0.7515,0.874,0.1638,0.4836
0.8057,0.3975,0.5825,0.86,0.719,0.6177,0.1388,0.6025
0.736,0.607,0.525,0.865,0.7646,0.622,0.271,0.5234
0.822,0.3767,0.5117,0.8384,0.7397,0.574,0.1473,0.4946
0.8066,0.3496,0.4946,0.826,0.7695,0.5244,0.077,0.5186
0.768,0.2764,0.6084,0.809,0.821,0.5405,0.07404,0.4436
0.764,0.5444,0.722,0.8623,0.7344,0.588,0.1204,0.503
0.7993,0.502,0.509,0.8325,0.771,0.722,0.1197,0.468
0.7837,0.4128,0.545,0.82,0.8125,0.4148,0.07043,0.539
0.7896,0.3347,0.4707,0.8135,0.6787,0.4949,0.1687,0.557
0.798,0.341,0.5786,0.8257,0.749,0.591,0.2208,0.576
0.8076,0.2783,0.394,0.828,0.7397,0.5786,0.09204,0.4907
0.8394,0.525,0.577,0.838,0.7114,0.6533,0.3188,0.5005
0.802,0.4683,0.5083,0.913,0.719,0.452,0.2454,0.4995
0.812,0.4102,0.4824,0.848,0.7397,0.6836,0.1765,0.4966
0.792,0.264,0.644,0.799,0.935,0.4258,0.2189,0.603
0.8115,0.3264,0.4944,0.8525,0.731,0.637,0.2025,0.513
0.8237,0.501,0.523,0.8457,0.7153,0.6226,0.1583,0.5625
0.7944,0.3496,0.5293,0.8574,0.7334,0.737,0.1346,0.4644
0.8013,0.4258,0.5156,0.8394,0.698,0.4958,0.0772,0.4812
0.7876,0.2573,0.5117,0.859,0.7495,0.598,0.1886,0.4055
0.7974,0.3494,0.531,0.8354,0.708,0.567,0.2861,0.5913
0.7734,0.335,0.5415,0.828,0.7275,0.5474,0.1792,0.4995
0.7905,0.309,0.482,0.8623,0.7173,0.56,0.143,0.5005
0.8345,0.3745,0.4797,0.8457,0.759,0.5483,0.2932,0.53
0.772,0.335,0.573,0.792,0.736,0.537,0.1288,0.505
0.767,0.2527,0.4548,0.844,0.743,0.615,0.3157,0.539
0.8154,0.3499,0.556,0.815,0.7275,0.3547,0.1287,0.5967
0.8125,0.2913,0.5195,0.85,0.7817,0.6675,0.2373,0.5596
0.793,0.3657,0.608,0.8716,0.7715,0.541,0.2673,0.4255
0.8247,0.2642,0.5024,0.8296,0.7217,0.694,0.142,0.521
0.8467,0.5703,0.5186,0.8657,0.714,0.529,0.269,0.476
0.806,0.365,0.647,0.8613,0.7236,0.3616,0.4055,0.4897
0.803,0.3142,0.5835,0.8223,0.6772,0.772,0.158,0.48
0.806,0.3928,0.5493,0.8584,0.7573,0.474,0.1649,0.5234
0.7734,0.4119,0.4456,0.838,0.803,0.8896,0.1333,0.5
0.8203,0.4705,0.5283,0.82,0.726,0.663,0.11096,0.5195
0.763,0.3281,0.586,0.8438,0.757,0.5107,0.1973,0.5234
0.792,0.2705,0.5103,0.826,0.7993,0.6997,0.1852,0.5786
0.807,0.3364,0.553,0.8535,0.723,0.642,0.423,0.538
0.7915,0.2262,0.549,0.829,0.7793,0.7065,0.1525,0.468
0.8022,0.3289,0.4854,0.8335,0.733,0.5273,0.1239,0.504
0.8105,0.4646,0.525,0.8257,0.7734,0.5645,0.1995,0.4949
0.791,0.3452,0.4146,0.8354,0.7773,0.539,0.2786,0.4583
0.7954,0.3145,0.5234,0.83,0.818,0.577,0.1708,0.588
0.7783,0.3586,0.4592,0.8506,0.7974,0.66,0.2834,0.6016
0.803,0.4033,0.5312,0.8237,0.73,0.595,0.05902,0.546
0.818,0.3135,0.538,0.8286,0.7466,0.66,0.1328,0.54
0.811,0.3933,0.537,0.829,0.732,0.5273,0.2864,0.455
0.7886,0.427,0.4048,0.861,0.7554,0.511,0.0643,0.5337
0.7734,0.3955,0.617,0.843,0.7534,0.5566,0.1036,0.6084
0.785,0.2273,0.481,0.869,0.814,0.3894,0.1981,0.518
0.8203,0.522,0.412,0.7944,0.7407,0.5156,0.10645,0.507
0.845,0.2803,0.4214,0.829,0.699,0.6772,0.2369,0.439
0.782,0.3635,0.5894,0.8335,0.751,0.361,0.07117,0.5083
0.8057,0.4104,0.4785,0.8413,0.725,0.6387,0.1251,0.5166
0.7764,0.376,0.396,0.8843,0.75,0.545,0.1311,0.5684
0.779,0.3105,0.564,0.8296,0.6494,0.546,0.1891,0.452
0.7837,0.2786,0.499,0.8516,0.784,0.611,0.1516,0.584
0.781,0.3677,0.537,0.8247,0.7026,0.696,0.1373,0.541
0.771,0.3076,0.5107,0.864,0.7456,0.5938,0.1498,0.4817
0.819,0.3738,0.578,0.854,0.7295,0.652,0.1556,0.509
0.8296,0.3677,0.5635,0.8755,0.7124,0.6777,0.2477,0.563
0.8164,0.505,0.4658,0.8247,0.7144,0.51,0.2732,0.5254
0.79,0.3638,0.5107,0.879,0.754,0.482,0.2161,0.487
0.791,0.4893,0.55,0.8096,0.673,0.598,0.1635,0.4924
0.805,0.4297,0.5615,0.8193,0.7075,0.6694,0.1808,0.549
0.8057,0.5073,0.3926,0.8438,0.7505,0.696,0.1169,0.6294
0.7954,0.3076,0.553,0.8223,0.755,0.6816,0.2756,0.5537
0.7847,0.3943,0.5225,0.8486,0.771,0.512,0.167,0.514
0.886,0.2695,0.4773,0.8047,0.765,0.5273,0.01872,0.49
0.798,0.3245,0.5684,0.835,0.7188,0.6406,0.2017,0.4482
0.785,0.4294,0.5864,0.8643,0.733,0.6426,0.1135,0.516
0.7666,0.3835,0.5127,0.8364,0.7764,0.636,0.2095,0.5303
0.801,0.317,0.6333,0.869,0.732,0.677,0.2322,0.461
0.802,0.3228,0.5273,0.828,0.7744,0.573,0.07605,0.513
0.7515,0.2089,0.515,0.8613,0.715,0.588,0.1788,0.4756
