sentence-t5-base,gte-base-en-v1.5,bge-base-en-v1.5,instructor-base,e5-base,sup-simcse-bert-base-uncased,all-mpnet-base-v2,UAE-Large-V1
0.808,0.2915,0.582,0.835,0.7227,0.5337,0.1417,0.423
0.802,0.451,0.467,0.8574,0.77,0.514,0.1746,0.4934
0.7905,0.345,0.3918,0.8604,0.734,0.612,0.3655,0.5376
0.815,0.184,0.5522,0.835,0.7417,0.6094,0.1659,0.5234
0.797,0.3032,0.4963,0.838,0.729,0.4587,0.3176,0.4832
0.8584,0.3313,0.641,0.8545,0.699,0.66,0.1752,0.394
0.871,0.3113,0.546,0.8345,0.7256,0.385,0.1833,0.5522
0.7754,0.372,0.507,0.836,0.724,0.4998,0.10345,0.5454
0.8003,0.2478,0.4722,0.8237,0.729,0.452,0.1283,0.5737
0.804,0.3062,0.4407,0.8574,0.805,0.7456,0.1522,0.4934
0.7935,0.3777,0.4255,0.8594,0.718,0.4626,0.2634,0.4978
0.791,0.4832,0.51,0.827,0.8657,0.887,0.3203,0.4866
0.809,0.354,0.5635,0.831,0.7393,0.606,0.09186,0.4883
0.8164,0.5015,0.4326,0.829,0.692,0.526,0.2847,0.525
0.8154,0.161,0.514,0.847,0.744,0.8203,0.156,0.5366
0.8027,0.4683,0.5454,0.822,0.7305,0.5776,0.2156,0.4866
0.7915,0.452,0.465,0.8516,0.804,0.4026,0.1786,0.4905
0.81,0.392,0.4512,0.832,0.773,0.663,0.3965,0.55
0.804,0.556,0.6216,0.896,0.7363,0.5786,0.315,0.4778
0.8213,1.0,0.569,0.845,0.716,0.6074,0.3381,0.5195
0.758,0.5215,0.573,0.8315,0.714,0.6357,0.2498,0.4573
0.7856,0.1367,0.5747,0.8413,0.725,0.809,0.1938,0.4714
0.8213,0.5586,0.5366,0.833,0.7603,0.473,0.1676,0.4287
0.7783,0.4644,0.4868,0.836,0.7324,0.5137,0.1443,0.4717
0.78,0.3665,0.4846,0.8384,0.7036,0.6235,0.2411,0.5703
0.7886,0.546,0.4297,0.823,0.7256,0.512,0.1608,0.503
0.786,0.5234,0.4924,0.84,0.761,0.612,0.1353,0.5244
0.8203,0.4265,0.4375,0.8613,0.728,0.6416,0.219,0.555
0.8403,0.4546,0.4934,0.8643,0.7397,0.6777,0.1205,0.4941
0.756,0.3506,0.611,0.921,0.785,0.502,0.1681,0.5913
0.7783,0.4336,0.4438,0.8423,0.713,0.7017,0.1808,0.446
0.8003,0.3298,0.4497,0.825,0.748,0.6064,0.1052,0.4575
0.8276,0.444,0.3838,0.8525,0.8374,0.5576,0.1777,0.5356
0.734,0.3447,0.547,0.8477,0.692,0.5337,0.1578,0.509
0.7705,0.573,0.486,0.8647,0.6685,0.3755,0.3096,0.4885
0.7925,0.4736,0.4468,0.825,0.708,0.611,0.1302,0.5127
0.8267,0.3945,0.4312,0.837,0.7354,0.4597,0.10614,0.4524
0.7803,0.3774,0.6216,0.817,0.7466,0.6846,0.1868,0.4944
0.7437,0.317,0.4922,0.853,0.776,0.547,0.1713,0.673
0.7793,0.3423,0.5386,0.867,0.744,0.5596,0.118,0.5713
0.7686,0.3381,0.5454,0.8027,0.7964,0.408,0.1411,0.5425
0.8315,0.3008,0.5674,0.863,0.6924,0.558,0.1824,0.591
0.776,0.2786,0.4197,0.838,0.7935,0.7847,0.179,0.464
0.7837,0.3892,0.5073,0.8345,0.807,0.5933,0.2012,0.5347
0.8203,0.4395,0.475,0.845,0.8027,0.592,0.349,0.4739
0.799,0.3289,0.5054,0.8125,0.723,0.5923,0.1484,0.4495
0.7764,0.2708,0.515,0.8384,0.681,0.4126,0.25,0.557
0.756,0.2947,0.5654,0.83,0.8433,0.4453,0.2289,0.541
0.817,0.2328,0.559,0.8257,0.8335,0.531,0.04077,0.5083
0.755,0.3599,0.543,0.827,0.7197,0.543,0.464,0.527
0.823,0.3408,0.4736,0.8315,0.7227,0.4692,0.1351,0.4722
0.7925,0.3232,0.531,0.8335,0.7383,0.7544,0.15,0.4534
0.7725,0.2764,0.596,0.863,0.7153,0.5894,0.10254,0.5635
0.8315,0.553,0.533,0.82,0.7227,0.737,0.2917,0.3945
0.838,0.4402,0.52,0.8535,0.7256,0.749,0.1661,0.4346
0.7905,0.459,0.5723,0.85,0.7163,0.4333,0.3306,0.4812
0.785,0.468,0.523,0.846,0.7676,0.4827,0.1578,0.511
0.8047,0.45,0.44,0.853,0.7104,0.7383,0.1747,0.4343
0.7676,0.3835,0.4668,0.874,0.7964,0.7524,0.1621,0.5835
0.799,0.3196,0.507,0.8,0.7344,0.4912,0.1403,0.4836
0.785,0.4285,0.5845,0.8623,0.7554,0.718,0.1692,0.515
0.851,0.3318,0.639,0.8325,0.714,0.5464,0.0839,0.5156
0.764,0.4236,0.5747,0.859,0.7437,0.692,0.1466,0.4695
0.791,0.2593,0.4285,0.856,0.723,0.6235,0.1865,0.572
0.7856,0.3806,0.6006,0.823,0.751,0.4812,0.2463,0.497
0.825,0.37,0.584,0.818,0.726,0.5586,0.3196,0.5527
0.766,0.2366,0.5054,0.8364,0.7246,0.5073,0.1804,0.443
0.783,0.5435,0.462,0.817,0.7354,0.4932,0.1486,0.441
0.7754,0.366,0.4866,0.855,0.771,0.4521,0.1317,0.618
0.7676,0.4148,0.482,0.8457,0.743,0.637,0.129,0.4854
0.795,0.3464,0.5,0.835,0.6733,0.68,0.282,0.553
0.7627,0.4204,0.4258,0.7993,0.7983,0.6323,0.2844,0.512
0.7764,0.3203,0.474,0.85,0.718,0.5005,0.1954,0.5713
0.8174,0.2878,0.5684,0.8354,0.7593,0.4583,0.1973,0.587
0.8013,0.257,0.5786,0.862,0.7,0.597,0.03079,0.544
0.7905,0.2764,0.456,0.841,0.7285,0.6616,0.1077,0.4905
0.789,0.4233,0.5317,0.811,0.7856,0.585,0.0961,0.4385
0.803,0.2961,0.619,0.8525,0.6846,0.6367,0.1165,0.432
0.7827,0.3103,0.574,0.834,0.89,0.5684,0.1715,0.5063
0.7803,0.3857,0.479,0.851,0.716,0.5063,0.11334,0.5186
0.8257,0.3333,0.485,0.8145,0.718,0.4075,0.2367,0.4807
0.8037,0.4114,0.5034,0.8213,0.7305,0.6235,0.2042,0.4812
0.8115,0.513,0.4963,0.845,0.7104,0.8545,0.1237,0.477
0.791,0.3855,0.5293,0.8345,0.7373,0.8423,0.03604,0.54
0.803,0.4004,0.4185,0.83,0.7417,0.744,0.1065,0.4146
0.7803,0.3735,0.45,0.8584,0.7183,0.4622,0.2322,0.4473
0.793,0.5605,0.4702,0.829,0.7505,0.593,0.2751,0.481
0.7866,0.3809,0.653,0.823,0.7334,0.5356,0.2035,0.5635
0.823,0.3828,0.4385,0.8477,0.699,0.4058,0.2808,0.557
0.8145,0.284,0.5933,0.818,0.701,0.4373,0.3645,0.4836
0.789,0.459,0.4746,0.811,0.7524,0.6455,0.1774,0.4604
0.8003,0.4614,0.501,0.8306,0.7383,0.614,0.1505,0.5215
0.78,0.2805,0.5303,0.8457,0.7944,0.679,0.1519,0.5225
0.783,0.4255,0.4001,0.799,0.724,0.5356,0.1158,0.5806
0.8076,0.3882,0.6484,0.8247,0.769,0.6016,0.1935,0.509
0.773,0.3633,0.552,0.833,0.7207,0.6245,0.2479,0.5195
0.798,0.324,0.4685,0.8213,0.742,0.8647,0.1748,0.478
0.7393,0.4429,0.531,0.8003,0.7334,0.531,0.1526,0.462
0.799,0.1758,0.751,0.855,0.6973,0.6416,0.0943,0.4534
0.7866,0.3667,0.619,0.8364,0.7446,0.702,0.08044,0.5
0.773,0.4963,0.4553,0.8374,0.735,0.3984,0.2534,0.4968
0.8125,0.3225,0.5005,0.839,0.7764,0.671,0.1959,0.471
0.817,0.4336,0.4614,0.807,0.7354,0.7417,0.11597,0.7065
0.8467,0.444,0.3862,0.8345,0.719,0.499,0.1578,1.0
0.805,0.2234,0.488,0.8096,0.733,0.658,0.1713,0.466
0.731,0.3523,0.4836,0.8403,0.7314,0.6226,0.1526,0.4211
0.8403,0.2683,0.4458,0.89,0.7524,0.609,0.107,0.4607
0.804,0.307,0.5713,0.841,0.718,0.8315,0.2666,0.5146
0.7905,0.4255,0.543,0.8325,0.793,0.5894,0.2322,0.5073
0.794,0.5854,0.569,0.887,0.6987,0.4028,0.0868,0.5156
0.8003,0.601,0.316,0.842,0.7114,0.6924,0.08014,0.5024
0.823,0.417,0.4705,0.8164,0.7104,0.618,0.1831,0.4668
0.773,0.3843,0.5747,0.862,0.738,0.5947,0.1458,0.471
0.781,0.5376,0.4575,0.861,0.723,0.737,0.1736,0.51
0.741,0.381,0.556,0.848,0.7554,0.4136,0.3218,0.5435
0.814,0.2385,0.508,0.8184,0.7056,0.5254,0.1757,0.4634
0.793,0.462,0.491,0.86,0.7363,0.5435,0.2206,0.4685
0.781,0.3438,0.5366,0.8164,0.68,0.711,-0.02715,0.4465
0.838,0.366,0.5117,0.852,0.7207,0.722,0.1511,0.4475
0.811,0.3389,0.5396,0.8354,0.7065,0.616,0.287,0.537
0.772,0.4617,0.7188,0.822,0.722,0.5034,0.1287,0.582
0.782,0.3977,0.5703,0.843,0.74,0.6377,0.2915,0.3755
0.7544,0.4822,0.4397,0.8335,0.742,0.559,0.2815,0.6675
0.809,0.3772,0.537,0.822,0.724,0.537,0.3086,0.4602
0.7734,0.631,0.6064,0.8325,0.757,0.6313,0.1749,0.4648
0.7964,0.4236,0.4868,0.8203,0.7285,0.632,0.241,0.5483
0.7603,0.354,0.5806,0.8335,0.7847,0.6987,0.1936,0.5366
0.832,0.5083,0.546,0.7646,0.7354,0.694,0.0533,0.4858
0.817,0.4045,0.5347,0.82,0.7124,0.613,0.4216,0.3938
0.824,0.51,0.5396,0.872,0.7104,0.7017,0.177,0.536
0.77,0.367,0.526,0.8164,0.754,0.553,0.1821,0.5063
0.8164,0.4219,0.564,0.8306,0.7515,0.5977,0.2198,0.4631
0.8,0.2803,0.591,0.8096,0.737,0.4934,0.2365,0.4915
0.7905,0.3418,0.551,0.8486,0.7236,0.5757,0.1615,0.8867
0.7793,0.3445,0.56,0.8174,0.7124,0.4832,0.0816,0.474
0.7847,0.3857,0.394,0.847,0.7217,0.5234,0.2491,0.524
0.789,0.451,0.5225,0.8228,0.728,0.5596,0.11273,0.4656
0.782,0.2472,0.4565,0.8394,0.713,0.5444,0.4092,0.4983
0.8,0.3125,0.6,0.823,0.738,0.4849,0.3015,0.522
0.7993,0.455,0.6265,0.8394,0.705,0.599,0.08527,0.4634
0.805,0.308,0.4617,0.826,0.7246,0.4307,0.3518,0.4666
0.797,0.6143,0.5386,0.83,0.8564,0.733,0.1428,0.488
0.85,0.4194,0.6367,0.8555,0.722,0.5723,0.1477,0.4224
0.81,0.398,0.5054,0.8105,0.723,0.664,0.04456,0.4578
0.767,0.2345,0.5977,0.8564,0.752,0.552,0.1626,0.5527
0.812,0.5195,0.542,0.8203,0.733,0.5596,0.1653,0.4424
0.796,0.3765,0.6113,0.843,0.7812,0.5957,0.1381,0.5483
0.8037,0.3596,0.52,0.8027,0.7373,0.7104,0.0806,0.4526
0.8184,0.2363,0.542,0.845,0.732,0.5405,0.1962,0.451
0.7783,0.2107,0.537,0.8027,0.7393,0.6006,0.0776,0.5186
0.762,0.686,0.414,0.8096,0.733,0.514,0.11224,0.5664
0.806,0.325,0.3826,0.838,0.756,0.6167,0.1823,0.5596
0.833,0.346,0.52,0.8447,0.688,0.7144,0.1697,0.4543
0.7964,0.3848,0.519,0.8516,0.74,0.8604,0.2522,0.4763
0.799,0.3777,0.4753,0.777,0.779,0.704,0.2291,0.485
0.795,0.3354,0.4927,0.839,0.7407,0.7266,0.2263,0.5044
0.7866,0.6143,0.5083,0.868,0.752,0.5293,0.0703,0.4387
0.8413,0.3203,0.5396,0.839,0.816,0.4324,0.1895,0.5728
0.781,0.2976,0.4927,0.8984,0.718,0.5396,0.0957,0.4524
0.7964,0.3413,0.553,0.857,0.731,0.915,0.1101,0.4502
0.817,0.2416,0.5234,0.803,0.896,0.602,0.1833,0.5234
0.795,0.5103,0.4377,0.855,0.7427,0.7285,0.3955,0.5425
0.761,0.2712,0.5566,0.8584,0.839,0.7114,0.1208,0.562
0.8013,0.1997,0.5176,0.828,0.786,0.515,0.1298,0.534
0.7993,0.349,0.554,0.7983,0.7627,0.6753,0.1511,0.4626
